transaction_date,region,distributor,store,sales_channel,product,category,units_sold,revenue
2024-09-29,South,SulMax Distribuidora,Curitiba Retail Point,Pharmacy,Orange Juice 1L,Beverages,6,44.58
2024-11-06,Southeast,Rio Valley Distribution,Campinas Retail Hub,Convenience,Pasta 500g,Grocery,16,101.44
2024-12-09,South,SulMax Distribuidora,Florianópolis Market Center,Convenience,Cookies Pack 140g,Confectionery,23,153.18
2024-02-02,South,Pampa Supply,Curitiba Retail Point,Supermarket,Potato Chips 120g,Snacks,53,318.0
2024-02-06,South,SulMax Distribuidora,Florianópolis Market Center,Supermarket,Classic Soda 350ml,Beverages,17,73.1
2024-05-22,North,Norte Supply,Manaus Retail Center,E-commerce,Potato Chips 120g,Snacks,16,99.2
2024-04-07,Northeast,Coastal Distribution,Recife Store Hub,Pharmacy,Cookies Pack 140g,Confectionery,5,31.8
2024-01-28,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Pharmacy,Tomato Sauce 340g,Grocery,5,19.5
2024-10-01,Central-West,Cerrado Logistics,Goiânia Sales Point,Supermarket,Potato Chips 120g,Snacks,67,410.71
2024-08-14,Northeast,Coastal Distribution,Salvador Retail Point,Supermarket,Orange Juice 1L,Beverages,80,591.2
2024-07-27,South,SulMax Distribuidora,Curitiba Retail Point,Supermarket,Mineral Water 500ml,Beverages,72,200.88
2024-07-18,Southeast,SP Trade Hub,Campinas Retail Hub,Pharmacy,Classic Soda 350ml,Beverages,10,48.1
2024-09-06,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,E-commerce,Dish Soap 500ml,Household,5,23.3
2024-06-09,Northeast,Nordeste Partners,Fortaleza Market Center,E-commerce,Classic Soda 350ml,Beverages,2,8.36
2024-02-11,Southeast,Rio Valley Distribution,Campinas Retail Hub,Cash & Carry,Pasta 500g,Grocery,38,208.62
2024-05-06,North,Amazon Distribution,Belém Market Point,Cash & Carry,Laundry Detergent 1L,Household,89,1129.41
2024-09-24,South,SulMax Distribuidora,Porto Alegre Store Hub,E-commerce,Laundry Detergent 1L,Household,11,147.07
2024-03-08,Northeast,Coastal Distribution,Recife Store Hub,Convenience,Cookies Pack 140g,Confectionery,24,167.04
2024-11-14,Southeast,Atlântico Distribuição,São Paulo Prime Store,Cash & Carry,Tomato Sauce 340g,Grocery,87,394.11
2024-06-27,North,Amazon Distribution,Porto Velho Outlet,Convenience,Mineral Water 500ml,Beverages,5,14.85
2024-12-26,Central-West,MidBrasil Supply,Goiânia Sales Point,Pharmacy,Pasta 500g,Grocery,11,66.11
2024-12-05,South,SulMax Distribuidora,Florianópolis Market Center,E-commerce,Peanut Mix 200g,Snacks,4,35.12
2024-10-10,Northeast,Coastal Distribution,Recife Store Hub,Cash & Carry,Paper Towels 2-roll,Household,34,284.92
2024-12-17,South,SulMax Distribuidora,Florianópolis Market Center,Convenience,Potato Chips 120g,Snacks,23,158.01
2024-11-20,South,Pampa Supply,Porto Alegre Store Hub,Cash & Carry,Orange Juice 1L,Beverages,69,574.08
2024-05-14,North,Amazon Distribution,Belém Market Point,Supermarket,Dish Soap 500ml,Household,30,152.7
2024-02-08,South,Pampa Supply,Florianópolis Market Center,Cash & Carry,Orange Juice 1L,Beverages,103,866.23
2024-03-16,South,SulMax Distribuidora,Porto Alegre Store Hub,E-commerce,Pasta 500g,Grocery,14,77.7
2024-12-15,Central-West,MidBrasil Supply,Goiânia Sales Point,Convenience,Potato Chips 120g,Snacks,10,66.7
2024-03-24,Central-West,MidBrasil Supply,Cuiabá Store Center,Supermarket,Potato Chips 120g,Snacks,32,220.8
2024-12-08,North,Amazon Distribution,Porto Velho Outlet,Convenience,Cookies Pack 140g,Confectionery,10,65.5
2024-04-12,North,Norte Supply,Manaus Retail Center,Pharmacy,Potato Chips 120g,Snacks,16,101.44
2024-06-17,Northeast,Nordeste Partners,Recife Store Hub,Supermarket,Cookies Pack 140g,Confectionery,45,324.0
2024-12-13,Central-West,MidBrasil Supply,Cuiabá Store Center,E-commerce,Cookies Pack 140g,Confectionery,18,119.16
2024-05-15,North,Amazon Distribution,Belém Market Point,Supermarket,Laundry Detergent 1L,Household,14,164.08
2024-09-18,Southeast,Atlântico Distribuição,Rio Market Center,Pharmacy,Laundry Detergent 1L,Household,5,61.35
2024-08-11,South,SulMax Distribuidora,Porto Alegre Store Hub,Cash & Carry,Paper Towels 2-roll,Household,15,130.95
2024-12-06,South,SulMax Distribuidora,Porto Alegre Store Hub,Pharmacy,Orange Juice 1L,Beverages,12,96.72
2024-07-28,North,Norte Supply,Porto Velho Outlet,Convenience,Dish Soap 500ml,Household,13,62.66
2024-07-13,Central-West,Cerrado Logistics,Goiânia Sales Point,Pharmacy,Dish Soap 500ml,Household,7,34.93
2024-05-26,Central-West,MidBrasil Supply,Cuiabá Store Center,Cash & Carry,Peanut Mix 200g,Snacks,41,332.51
2024-12-11,South,Pampa Supply,Porto Alegre Store Hub,Pharmacy,Tomato Sauce 340g,Grocery,8,33.68
2024-11-20,Northeast,Nordeste Partners,Salvador Retail Point,E-commerce,Dish Soap 500ml,Household,11,50.38
2024-01-13,Northeast,Coastal Distribution,Recife Store Hub,Supermarket,Mineral Water 500ml,Beverages,15,40.35
2024-11-18,Southeast,Rio Valley Distribution,São Paulo Prime Store,Pharmacy,Cookies Pack 140g,Confectionery,20,129.4
2024-12-01,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Supermarket,Mineral Water 500ml,Beverages,10,29.8
2024-09-22,North,Norte Supply,Manaus Retail Center,Supermarket,Paper Towels 2-roll,Household,69,556.83
2024-12-07,Northeast,Nordeste Partners,Salvador Retail Point,Supermarket,Tomato Sauce 340g,Grocery,77,348.81
2024-09-15,South,Pampa Supply,Porto Alegre Store Hub,E-commerce,Paper Towels 2-roll,Household,14,128.24
2024-05-12,South,Pampa Supply,Curitiba Retail Point,Pharmacy,Tomato Sauce 340g,Grocery,9,39.87
2024-08-13,Central-West,MidBrasil Supply,Cuiabá Store Center,Supermarket,Peanut Mix 200g,Snacks,19,161.12
2024-02-11,Northeast,Coastal Distribution,Salvador Retail Point,Convenience,Pasta 500g,Grocery,7,38.99
2024-07-31,Southeast,Rio Valley Distribution,Campinas Retail Hub,Supermarket,Orange Juice 1L,Beverages,62,476.78
2024-07-18,Southeast,Atlântico Distribuição,São Paulo Prime Store,Supermarket,Cookies Pack 140g,Confectionery,12,86.28
2024-06-01,South,Pampa Supply,Porto Alegre Store Hub,Cash & Carry,Chocolate Bar 90g,Confectionery,111,588.3
2024-05-19,Southeast,Rio Valley Distribution,Campinas Retail Hub,Pharmacy,Potato Chips 120g,Snacks,15,97.35
2024-03-06,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Supermarket,Tomato Sauce 340g,Grocery,78,302.64
2024-08-07,Southeast,Rio Valley Distribution,São Paulo Prime Store,Cash & Carry,Dish Soap 500ml,Household,32,166.08
2024-04-18,Northeast,Nordeste Partners,Salvador Retail Point,Pharmacy,Chocolate Bar 90g,Confectionery,16,84.0
2024-08-28,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Convenience,Orange Juice 1L,Beverages,3,24.63
2024-01-21,North,Norte Supply,Manaus Retail Center,Cash & Carry,Dish Soap 500ml,Household,111,502.83
2024-05-02,Northeast,Nordeste Partners,Recife Store Hub,E-commerce,Mineral Water 500ml,Beverages,5,13.95
2024-03-26,North,Amazon Distribution,Belém Market Point,Convenience,Chocolate Bar 90g,Confectionery,22,120.78
2024-01-14,North,Amazon Distribution,Belém Market Point,Cash & Carry,Laundry Detergent 1L,Household,54,683.1
2024-12-19,Southeast,Atlântico Distribuição,Campinas Retail Hub,Cash & Carry,Laundry Detergent 1L,Household,95,1139.05
2024-09-29,Central-West,Cerrado Logistics,Cuiabá Store Center,Cash & Carry,Chocolate Bar 90g,Confectionery,69,382.26
2024-02-24,North,Norte Supply,Manaus Retail Center,Pharmacy,Tomato Sauce 340g,Grocery,15,67.65
2024-09-24,Southeast,Rio Valley Distribution,Campinas Retail Hub,Pharmacy,Mineral Water 500ml,Beverages,10,28.5
2024-10-30,South,Pampa Supply,Porto Alegre Store Hub,Pharmacy,Paper Towels 2-roll,Household,10,84.5
2024-08-25,Northeast,Nordeste Partners,Salvador Retail Point,Pharmacy,Potato Chips 120g,Snacks,20,132.2
2024-04-03,Southeast,Atlântico Distribuição,São Paulo Prime Store,Pharmacy,Chocolate Bar 90g,Confectionery,17,87.55
2024-05-21,Central-West,MidBrasil Supply,Brasília Retail Hub,E-commerce,Paper Towels 2-roll,Household,18,144.36
2024-10-11,Northeast,Nordeste Partners,Recife Store Hub,Pharmacy,Tomato Sauce 340g,Grocery,9,38.97
2024-04-23,Southeast,Atlântico Distribuição,São Paulo Prime Store,Cash & Carry,Peanut Mix 200g,Snacks,66,557.7
2024-06-25,Central-West,MidBrasil Supply,Brasília Retail Hub,E-commerce,Pasta 500g,Grocery,14,89.18
2024-06-05,South,Pampa Supply,Porto Alegre Store Hub,Pharmacy,Peanut Mix 200g,Snacks,10,78.5
2024-04-04,Northeast,Coastal Distribution,Recife Store Hub,E-commerce,Paper Towels 2-roll,Household,7,58.17
2024-05-31,Southeast,Atlântico Distribuição,Rio Market Center,Cash & Carry,Potato Chips 120g,Snacks,44,279.84
2024-05-20,Central-West,Cerrado Logistics,Cuiabá Store Center,E-commerce,Mineral Water 500ml,Beverages,2,6.02
2024-09-08,South,Pampa Supply,Florianópolis Market Center,Supermarket,Dish Soap 500ml,Household,23,119.37
2024-06-23,South,Pampa Supply,Porto Alegre Store Hub,Pharmacy,Tomato Sauce 340g,Grocery,7,31.57
2024-09-08,Central-West,MidBrasil Supply,Goiânia Sales Point,Cash & Carry,Cookies Pack 140g,Confectionery,24,165.12
2024-02-13,North,Amazon Distribution,Manaus Retail Center,E-commerce,Peanut Mix 200g,Snacks,8,61.6
2024-08-18,Southeast,Rio Valley Distribution,Campinas Retail Hub,E-commerce,Cookies Pack 140g,Confectionery,15,98.7
2024-01-31,South,Pampa Supply,Porto Alegre Store Hub,E-commerce,Laundry Detergent 1L,Household,4,53.6
2024-05-02,Northeast,Nordeste Partners,Salvador Retail Point,Cash & Carry,Mineral Water 500ml,Beverages,37,104.34
2024-10-31,Northeast,Nordeste Partners,Salvador Retail Point,Pharmacy,Paper Towels 2-roll,Household,17,142.97
2024-08-20,Northeast,Coastal Distribution,Fortaleza Market Center,Convenience,Paper Towels 2-roll,Household,5,44.8
2024-04-25,Central-West,Cerrado Logistics,Brasília Retail Hub,Cash & Carry,Pasta 500g,Grocery,97,540.29
2024-06-06,Central-West,Cerrado Logistics,Goiânia Sales Point,Cash & Carry,Mineral Water 500ml,Beverages,91,264.81
2024-12-18,South,Pampa Supply,Porto Alegre Store Hub,Cash & Carry,Tomato Sauce 340g,Grocery,53,229.49
2024-01-21,Central-West,MidBrasil Supply,Brasília Retail Hub,Cash & Carry,Laundry Detergent 1L,Household,70,907.9
2024-12-11,South,Pampa Supply,Curitiba Retail Point,Cash & Carry,Potato Chips 120g,Snacks,88,579.92
2024-08-28,North,Norte Supply,Porto Velho Outlet,Cash & Carry,Mineral Water 500ml,Beverages,81,232.47
2024-09-08,Central-West,Cerrado Logistics,Cuiabá Store Center,Pharmacy,Dish Soap 500ml,Household,4,19.52
2024-06-17,Southeast,Atlântico Distribuição,Rio Market Center,Cash & Carry,Mineral Water 500ml,Beverages,67,193.63
2024-02-15,Central-West,MidBrasil Supply,Cuiabá Store Center,Cash & Carry,Tomato Sauce 340g,Grocery,55,221.65
2024-10-04,North,Norte Supply,Porto Velho Outlet,Cash & Carry,Dish Soap 500ml,Household,74,357.42
2024-08-14,Northeast,Coastal Distribution,Fortaleza Market Center,Pharmacy,Dish Soap 500ml,Household,3,14.01
2024-09-05,South,SulMax Distribuidora,Porto Alegre Store Hub,Pharmacy,Paper Towels 2-roll,Household,5,40.2
2024-10-09,South,SulMax Distribuidora,Florianópolis Market Center,Supermarket,Peanut Mix 200g,Snacks,11,90.97
2024-11-27,North,Amazon Distribution,Manaus Retail Center,Pharmacy,Orange Juice 1L,Beverages,6,47.4
2024-05-04,Central-West,MidBrasil Supply,Brasília Retail Hub,Pharmacy,Tomato Sauce 340g,Grocery,16,67.68
2024-07-31,Southeast,SP Trade Hub,Campinas Retail Hub,Cash & Carry,Peanut Mix 200g,Snacks,58,508.66
2024-06-01,South,Pampa Supply,Curitiba Retail Point,Convenience,Paper Towels 2-roll,Household,21,185.01
2024-06-25,Southeast,SP Trade Hub,Belo Horizonte Outlet,E-commerce,Tomato Sauce 340g,Grocery,11,46.53
2024-12-23,South,Pampa Supply,Porto Alegre Store Hub,Convenience,Potato Chips 120g,Snacks,10,65.7
2024-08-30,Northeast,Coastal Distribution,Recife Store Hub,Convenience,Paper Towels 2-roll,Household,25,232.0
2024-03-05,Southeast,Atlântico Distribuição,Campinas Retail Hub,Pharmacy,Classic Soda 350ml,Beverages,18,87.12
2024-08-21,Central-West,Cerrado Logistics,Brasília Retail Hub,Cash & Carry,Pasta 500g,Grocery,16,97.76
2024-05-15,Southeast,Rio Valley Distribution,Campinas Retail Hub,Cash & Carry,Tomato Sauce 340g,Grocery,58,248.24
2024-09-30,Southeast,Rio Valley Distribution,São Paulo Prime Store,Convenience,Dish Soap 500ml,Household,15,78.9
2024-04-30,Southeast,Rio Valley Distribution,São Paulo Prime Store,E-commerce,Orange Juice 1L,Beverages,10,85.3
2024-03-26,North,Norte Supply,Manaus Retail Center,Cash & Carry,Tomato Sauce 340g,Grocery,103,419.21
2024-07-02,North,Amazon Distribution,Belém Market Point,Cash & Carry,Peanut Mix 200g,Snacks,62,502.82
2024-03-30,Northeast,Coastal Distribution,Fortaleza Market Center,Supermarket,Mineral Water 500ml,Beverages,20,57.0
2024-03-14,Southeast,Rio Valley Distribution,Campinas Retail Hub,Pharmacy,Laundry Detergent 1L,Household,9,111.78
2024-05-27,Central-West,MidBrasil Supply,Brasília Retail Hub,Cash & Carry,Tomato Sauce 340g,Grocery,101,427.23
2024-11-23,North,Norte Supply,Belém Market Point,E-commerce,Peanut Mix 200g,Snacks,14,118.3
2024-02-24,Southeast,Atlântico Distribuição,Campinas Retail Hub,Pharmacy,Tomato Sauce 340g,Grocery,9,37.08
2024-12-03,Central-West,MidBrasil Supply,Cuiabá Store Center,Convenience,Classic Soda 350ml,Beverages,15,65.1
2024-04-27,South,SulMax Distribuidora,Florianópolis Market Center,Pharmacy,Peanut Mix 200g,Snacks,13,101.79
2024-02-19,Northeast,Coastal Distribution,Fortaleza Market Center,Supermarket,Dish Soap 500ml,Household,15,71.25
2024-05-31,Southeast,SP Trade Hub,Rio Market Center,Supermarket,Orange Juice 1L,Beverages,51,418.71
2024-09-28,Northeast,Nordeste Partners,Recife Store Hub,E-commerce,Chocolate Bar 90g,Confectionery,17,97.92
2024-06-22,Northeast,Coastal Distribution,Salvador Retail Point,Convenience,Paper Towels 2-roll,Household,6,51.96
2024-07-06,North,Amazon Distribution,Manaus Retail Center,Pharmacy,Pasta 500g,Grocery,4,24.68
2024-07-07,North,Norte Supply,Porto Velho Outlet,Cash & Carry,Tomato Sauce 340g,Grocery,101,441.37
2024-12-11,Central-West,MidBrasil Supply,Cuiabá Store Center,Convenience,Orange Juice 1L,Beverages,10,78.6
2024-02-02,South,Pampa Supply,Florianópolis Market Center,Supermarket,Dish Soap 500ml,Household,69,360.18
2024-01-20,Central-West,MidBrasil Supply,Goiânia Sales Point,Supermarket,Classic Soda 350ml,Beverages,48,233.28
2024-07-17,North,Amazon Distribution,Manaus Retail Center,E-commerce,Mineral Water 500ml,Beverages,15,41.1
2024-12-01,South,Pampa Supply,Florianópolis Market Center,Supermarket,Cookies Pack 140g,Confectionery,22,157.52
2024-07-08,South,Pampa Supply,Porto Alegre Store Hub,Cash & Carry,Paper Towels 2-roll,Household,42,362.04
2024-11-26,Northeast,Coastal Distribution,Recife Store Hub,Convenience,Pasta 500g,Grocery,14,76.86
2024-12-05,Central-West,Cerrado Logistics,Goiânia Sales Point,Pharmacy,Orange Juice 1L,Beverages,8,64.64
2024-03-05,South,SulMax Distribuidora,Curitiba Retail Point,Convenience,Potato Chips 120g,Snacks,21,129.99
2024-06-17,South,SulMax Distribuidora,Florianópolis Market Center,Supermarket,Potato Chips 120g,Snacks,28,190.4
2024-10-03,South,SulMax Distribuidora,Porto Alegre Store Hub,Supermarket,Mineral Water 500ml,Beverages,42,123.06
2024-05-01,North,Amazon Distribution,Manaus Retail Center,Cash & Carry,Chocolate Bar 90g,Confectionery,90,472.5
2024-08-03,Northeast,Coastal Distribution,Recife Store Hub,Supermarket,Paper Towels 2-roll,Household,77,628.32
2024-10-30,North,Norte Supply,Belém Market Point,Convenience,Pasta 500g,Grocery,6,35.1
2024-08-22,Northeast,Nordeste Partners,Fortaleza Market Center,E-commerce,Peanut Mix 200g,Snacks,1,7.62
2024-12-30,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Cash & Carry,Tomato Sauce 340g,Grocery,71,277.61
2024-03-05,North,Norte Supply,Porto Velho Outlet,Supermarket,Orange Juice 1L,Beverages,45,362.7
2024-05-30,South,Pampa Supply,Porto Alegre Store Hub,E-commerce,Pasta 500g,Grocery,15,88.65
2024-04-20,Southeast,SP Trade Hub,São Paulo Prime Store,E-commerce,Paper Towels 2-roll,Household,14,120.82
2024-07-31,Northeast,Coastal Distribution,Salvador Retail Point,Pharmacy,Cookies Pack 140g,Confectionery,5,33.0
2024-08-30,Central-West,MidBrasil Supply,Brasília Retail Hub,Supermarket,Dish Soap 500ml,Household,18,82.44
2024-07-09,North,Amazon Distribution,Belém Market Point,Cash & Carry,Paper Towels 2-roll,Household,118,966.42
2024-06-30,North,Norte Supply,Porto Velho Outlet,Cash & Carry,Cookies Pack 140g,Confectionery,100,728.0
2024-06-08,Southeast,Rio Valley Distribution,São Paulo Prime Store,Convenience,Laundry Detergent 1L,Household,14,163.94
2024-02-25,South,SulMax Distribuidora,Curitiba Retail Point,Pharmacy,Potato Chips 120g,Snacks,13,89.18
2024-08-07,Central-West,Cerrado Logistics,Brasília Retail Hub,E-commerce,Potato Chips 120g,Snacks,18,125.82
2024-04-02,South,SulMax Distribuidora,Florianópolis Market Center,Convenience,Classic Soda 350ml,Beverages,11,51.15
2024-03-14,Central-West,MidBrasil Supply,Brasília Retail Hub,Cash & Carry,Mineral Water 500ml,Beverages,87,249.69
2024-09-28,North,Amazon Distribution,Porto Velho Outlet,Cash & Carry,Orange Juice 1L,Beverages,42,325.08
2024-06-15,Southeast,Atlântico Distribuição,Campinas Retail Hub,Convenience,Peanut Mix 200g,Snacks,21,174.93
2024-12-11,North,Amazon Distribution,Manaus Retail Center,E-commerce,Classic Soda 350ml,Beverages,3,13.02
2024-04-20,Southeast,Atlântico Distribuição,Belo Horizonte Outlet,Pharmacy,Peanut Mix 200g,Snacks,18,138.42
2024-09-26,Southeast,SP Trade Hub,Rio Market Center,E-commerce,Tomato Sauce 340g,Grocery,10,38.9
2024-06-03,Southeast,Rio Valley Distribution,São Paulo Prime Store,Cash & Carry,Potato Chips 120g,Snacks,42,284.76
2024-09-11,Central-West,MidBrasil Supply,Brasília Retail Hub,Cash & Carry,Classic Soda 350ml,Beverages,110,489.5
2024-10-13,Northeast,Coastal Distribution,Fortaleza Market Center,Supermarket,Pasta 500g,Grocery,55,302.5
2024-06-09,North,Norte Supply,Manaus Retail Center,Pharmacy,Orange Juice 1L,Beverages,20,156.2
2024-07-26,Southeast,Rio Valley Distribution,Belo Horizonte Outlet,Convenience,Orange Juice 1L,Beverages,3,25.47
2024-08-11,Northeast,Coastal Distribution,Fortaleza Market Center,Convenience,Orange Juice 1L,Beverages,6,45.48
2024-06-07,South,Pampa Supply,Florianópolis Market Center,Cash & Carry,Cookies Pack 140g,Confectionery,110,729.3
2024-02-28,Central-West,Cerrado Logistics,Goiânia Sales Point,E-commerce,Dish Soap 500ml,Household,17,83.47
2024-02-22,Central-West,MidBrasil Supply,Cuiabá Store Center,Supermarket,Potato Chips 120g,Snacks,28,175.0
2024-11-17,Northeast,Nordeste Partners,Fortaleza Market Center,Cash & Carry,Mineral Water 500ml,Beverages,78,216.84
2024-11-21,South,Pampa Supply,Florianópolis Market Center,E-commerce,Dish Soap 500ml,Household,11,57.09
2024-08-14,Central-West,Cerrado Logistics,Brasília Retail Hub,Cash & Carry,Tomato Sauce 340g,Grocery,95,386.65
2024-06-07,Central-West,Cerrado Logistics,Brasília Retail Hub,E-commerce,Orange Juice 1L,Beverages,15,117.6
2024-02-16,North,Norte Supply,Belém Market Point,Cash & Carry,Dish Soap 500ml,Household,93,462.21
2024-11-29,Southeast,Atlântico Distribuição,São Paulo Prime Store,Pharmacy,Laundry Detergent 1L,Household,8,97.12
2024-02-22,Southeast,Rio Valley Distribution,Campinas Retail Hub,Cash & Carry,Tomato Sauce 340g,Grocery,118,527.46
2024-05-06,Central-West,Cerrado Logistics,Cuiabá Store Center,Supermarket,Classic Soda 350ml,Beverages,66,320.1
2024-07-17,South,SulMax Distribuidora,Porto Alegre Store Hub,Convenience,Peanut Mix 200g,Snacks,16,136.96
2024-06-17,South,SulMax Distribuidora,Florianópolis Market Center,Convenience,Orange Juice 1L,Beverages,6,47.82
2024-06-19,Southeast,Atlântico Distribuição,Rio Market Center,E-commerce,Mineral Water 500ml,Beverages,3,8.52
2024-10-31,Northeast,Coastal Distribution,Salvador Retail Point,Pharmacy,Mineral Water 500ml,Beverages,4,10.84
2024-12-25,Southeast,Rio Valley Distribution,Rio Market Center,Supermarket,Dish Soap 500ml,Household,77,352.66
2024-06-07,Southeast,Rio Valley Distribution,Rio Market Center,Cash & Carry,Chocolate Bar 90g,Confectionery,38,220.02
2024-03-20,Central-West,MidBrasil Supply,Goiânia Sales Point,Supermarket,Mineral Water 500ml,Beverages,19,51.49
2024-03-08,North,Amazon Distribution,Porto Velho Outlet,Convenience,Laundry Detergent 1L,Household,22,269.5
2024-08-12,Northeast,Nordeste Partners,Fortaleza Market Center,E-commerce,Mineral Water 500ml,Beverages,2,5.52
2024-08-17,Northeast,Coastal Distribution,Fortaleza Market Center,Convenience,Paper Towels 2-roll,Household,10,87.5
2024-10-19,Central-West,MidBrasil Supply,Goiânia Sales Point,Convenience,Dish Soap 500ml,Household,17,82.79
2024-03-23,Central-West,MidBrasil Supply,Cuiabá Store Center,E-commerce,Cookies Pack 140g,Confectionery,7,49.91
2024-10-10,Northeast,Coastal Distribution,Recife Store Hub,Pharmacy,Chocolate Bar 90g,Confectionery,5,27.9
2024-05-19,South,SulMax Distribuidora,Porto Alegre Store Hub,Cash & Carry,Mineral Water 500ml,Beverages,72,214.56
2024-06-27,Northeast,Coastal Distribution,Recife Store Hub,Supermarket,Tomato Sauce 340g,Grocery,13,53.82
2024-02-11,Southeast,Rio Valley Distribution,Rio Market Center,Supermarket,Cookies Pack 140g,Confectionery,57,370.5
2024-03-11,Central-West,Cerrado Logistics,Cuiabá Store Center,Convenience,Mineral Water 500ml,Beverages,4,10.8
2024-11-11,Southeast,Rio Valley Distribution,Campinas Retail Hub,Pharmacy,Tomato Sauce 340g,Grocery,2,8.94
2024-11-07,North,Norte Supply,Manaus Retail Center,Supermarket,Pasta 500g,Grocery,77,448.91
2024-05-02,Central-West,Cerrado Logistics,Brasília Retail Hub,Cash & Carry,Classic Soda 350ml,Beverages,68,312.8
2024-11-01,South,Pampa Supply,Curitiba Retail Point,Cash & Carry,Tomato Sauce 340g,Grocery,83,322.04
2024-08-07,South,SulMax Distribuidora,Florianópolis Market Center,Supermarket,Peanut Mix 200g,Snacks,10,83.5
2024-07-03,Northeast,Coastal Distribution,Recife Store Hub,Cash & Carry,Pasta 500g,Grocery,23,145.59
2024-11-21,South,SulMax Distribuidora,Porto Alegre Store Hub,Pharmacy,Classic Soda 350ml,Beverages,14,67.9
2024-05-03,Central-West,Cerrado Logistics,Brasília Retail Hub,Cash & Carry,Chocolate Bar 90g,Confectionery,108,598.32
2024-10-06,North,Norte Supply,Manaus Retail Center,Cash & Carry,Chocolate Bar 90g,Confectionery,58,328.86
2024-04-03,Northeast,Coastal Distribution,Fortaleza Market Center,Pharmacy,Dish Soap 500ml,Household,6,27.36
2024-04-12,Southeast,SP Trade Hub,Rio Market Center,Supermarket,Classic Soda 350ml,Beverages,15,65.55
2024-01-19,Central-West,MidBrasil Supply,Cuiabá Store Center,Pharmacy,Peanut Mix 200g,Snacks,8,63.36
2024-08-11,North,Norte Supply,Belém Market Point,Cash & Carry,Chocolate Bar 90g,Confectionery,66,370.26
2024-09-11,Southeast,Atlântico Distribuição,Campinas Retail Hub,Pharmacy,Paper Towels 2-roll,Household,13,120.77
2024-08-08,South,Pampa Supply,Curitiba Retail Point,Pharmacy,Orange Juice 1L,Beverages,7,55.72
2024-05-31,Central-West,Cerrado Logistics,Goiânia Sales Point,Convenience,Dish Soap 500ml,Household,12,58.32
2024-01-22,Southeast,SP Trade Hub,Belo Horizonte Outlet,Convenience,Tomato Sauce 340g,Grocery,14,59.92
2024-11-22,Southeast,Atlântico Distribuição,São Paulo Prime Store,Cash & Carry,Dish Soap 500ml,Household,66,316.14
2024-08-12,Northeast,Nordeste Partners,Recife Store Hub,E-commerce,Dish Soap 500ml,Household,2,9.22
